Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,2848.0,2878.899902,2836.300049,2851.350098,2757.7810059999997,10801.0
2016-03-30,2858.0,2923.850098,2858.0,2922.449951,2826.547607,77796.0
2016-03-31,2920.0,2985.0,2919.100098,2943.399902,2846.810059,46354.0
2016-04-01,2939.0,2970.0,2923.0,2951.050049,2854.208984,17145.0
2016-04-04,2970.050049,2987.800049,2948.050049,2979.399902,2881.628418,15979.0
2016-04-05,2978.0,3009.899902,2936.699951,2956.25,2859.238281,66510.0
2016-04-06,2960.0,3005.0,2960.0,2983.550049,2885.642822,10877.0
2016-04-07,2985.0,2985.050049,2942.5,2968.300049,2870.892822,10097.0
2016-04-08,2968.0,2968.0,2885.350098,2920.300049,2824.468018,16442.0
2016-04-11,2941.0,2985.0,2908.050049,2976.550049,2878.87207,17418.0
2016-04-12,2980.0,3060.0,2973.100098,3049.949951,2949.863525,27372.0
2016-04-13,3060.0,3170.0,3040.100098,3151.649902,3048.22583,44616.0
2016-04-18,3151.649902,3157.5,3050.0,3065.350098,2964.7583010000003,22211.0
2016-04-20,3065.350098,3079.0,3006.25,3040.699951,2940.917236,265374.0
2016-04-21,3050.050049,3064.5,2980.0,2988.5,2890.429932,270380.0
2016-04-22,2980.0,3026.199951,2952.050049,3001.0,2902.519775,406447.0
2016-04-25,3000.0,3021.0,2960.0,2967.399902,2870.022217,16578.0
2016-04-26,2964.449951,2964.449951,2919.0,2932.100098,2835.880859,17480.0
2016-04-27,2932.100098,2963.449951,2932.100098,2949.050049,2852.274658,64368.0
2016-04-28,2945.0,2947.0,2889.949951,2901.300049,2806.091553,18707.0
2016-04-29,2890.100098,2914.800049,2870.0,2901.300049,2806.091553,16290.0
2016-05-02,2899.399902,2930.0,2887.550049,2907.699951,2812.2814940000003,14464.0
2016-05-03,2955.0,2959.0,2865.350098,2884.399902,2789.746094,41281.0
2016-05-04,2899.899902,2915.350098,2884.550049,2897.699951,2802.609375,19625.0
2016-05-05,2922.899902,2948.0,2881.0,2893.949951,2798.982666,51320.0
2016-05-06,2913.0,2913.0,2829.0,2885.050049,2790.3747559999997,44863.0
2016-05-09,2890.0,2960.0,2890.0,2948.100098,2851.355957,27252.0
2016-05-10,2948.100098,2973.0,2931.0,2961.899902,2864.7028809999997,26061.0
2016-05-11,2934.100098,2980.899902,2920.050049,2960.649902,2863.493896,29537.0
2016-05-12,2955.050049,2979.100098,2945.0,2950.149902,2853.338379,17041.0
2016-05-13,2950.149902,2950.149902,2897.600098,2915.850098,2820.164307,15356.0
2016-05-16,2913.0,2913.0,2872.0,2902.949951,2807.6875,15104.0
2016-05-17,2910.0,2958.0,2907.0,2927.949951,2831.8671879999997,19183.0
2016-05-18,2915.899902,2915.899902,2862.0,2884.850098,2790.181396,36475.0
2016-05-19,2897.399902,2911.949951,2869.0,2890.300049,2795.4528809999997,17471.0
